,Common Name,Scientific Name,Status,Taxon Group
1036,"Salmon, Chinook [Upper Willamette River ESU]",Oncorhynchus tshawytscha,Threatened,Fish
1037,"Salmon, chum [Columbia River ESU]",Oncorhynchus keta,Threatened,Fish
1038,"Salmon, chum [Hood Canal summer-run ESU]",Oncorhynchus keta,Threatened,Fish
1039,"Salmon, coho [Central California Coast ESU]",Oncorhynchus kisutch,Endangered,Fish
1040,"Salmon, coho [Lower Columbia River ESU]",Oncorhynchus kisutch,Threatened,Fish
1041,"Salmon, coho [Oregon Coast ESU]",Oncorhynchus kisutch,Threatened,Fish
1042,"Salmon, coho [Southern Oregon-Northern California Coast ESU]",Oncorhynchus kisutch,Threatened,Fish
1043,"Salmon, sockeye [Ozette Lake ESU]",Oncorhynchus nerka,Threatened,Fish
1044,"Salmon, sockeye [Snake River ESU]",Oncorhynchus nerka,Endangered,Fish
1045,"Sawfish, dwarf",Pristis clavata,Endangered,Fish
1046,"Sawfish, green",Pristis zijsron,Endangered,Fish
1047,"Sawfish, largetooth","Pristis pristis(formerly Pristis perotteti, Pristis pristis, and Pristis microdon)",Endangered,Fish
1048,"Sawfish, narrow",Anoxypristis cuspidata,Endangered,Fish
1049,"Sawfish, smalltooth [Non-U.S. DPS]",Pristis pectinata,Endangered,Fish
1050,"Sawfish, smalltooth [U.S. DPS]",Pristis pectinata,Endangered,Fish
1051,"Sculpin, grotto",Cottus specus,Endangered,Fish
1052,"Sculpin, pygmy",Cottus pygmaeus,Threatened,Fish
1053,"Shark, scalloped hammerhead [Central & SW Atlantic DPS]",Sphyrna lewini,Threatened,Fish
1054,"Shark, scalloped hammerhead [Eastern Atlantic DPS]",Sphyrna lewini,Endangered,Fish
1055,"Shark, scalloped hammerhead [Eastern Pacific DPS]",Sphyrna lewini,Endangered,Fish
1056,"Shark, scalloped hammerhead [Indo-West Pacific DPS]",Sphyrna lewini,Threatened,Fish
1057,"Shiner, Arkansas River [Arkansas River Basin DPS]",Notropis girardi,Threatened,Fish
1058,"Shiner, beautiful",Cyprinella formosa,Threatened,Fish
1059,"Shiner, blue",Cyprinella caerulea,Threatened,Fish
1060,"Shiner, Cahaba",Notropis cahabae,Endangered,Fish
1061,"Shiner, Cape Fear",Notropis mekistocholas,Endangered,Fish
1062,"Shiner, palezone",Notropis albizonatus.,Endangered,Fish
1063,"Shiner, Pecos bluntnose",Notropis simus pecosensis,Threatened,Fish
1064,"Shiner, sharpnose",Notropis oxyrhynchus,Endangered,Fish
1065,"Shiner, smalleye",Notropis buccula,Endangered,Fish
1066,"Shiner, Topeka",Notropis topeka,Endangered,Fish
1067,"Shiner, Topeka",Notropis topeka,XN,Fish
1068,"Silverside, Waccamaw",Menidia extensa,Threatened,Fish
1069,"Smelt, delta",Hypomesus transpacificus,Threatened,Fish
1070,Spikedace,Meda fulgida,Endangered,Fish
1071,"Spinedace, Big Spring",Lepidomeda mollispinis pratensis,Threatened,Fish
1072,"Spinedace, Little Colorado",Lepidomeda vittata,Threatened,Fish
1073,"Spinedace, White River",Lepidomeda albivallis,Endangered,Fish
1074,"Springfish, Hiko White River",Crenichthys baileyi grandis,Endangered,Fish
1075,"Springfish, Railroad Valley",Crenichthys nevadae,Threatened,Fish
1076,"Springfish, White River",Crenichthys baileyi baileyi,Endangered,Fish
1077,Steelhead [California Central Valley DPS],Oncorhynchus mykiss,Threatened,Fish
1078,Steelhead [Central California Coast DPS],Oncorhynchus mykiss,Threatened,Fish
1079,Steelhead [Lower Columbia River DPS],Oncorhynchus mykiss,Threatened,Fish
