,Common Name,Scientific Name,Status,Taxon Group
1317,"Beetle, American burying",Nicrophorus americanus,Endangered,Insect
1318,"Beetle, American burying",Nicrophorus americanus,XN,Insect
1319,"Beetle, Casey's June",Dinacoma caseyi,Endangered,Insect
1320,"Beetle, Coffin Cave mold",Batrisodes texanus,Endangered,Insect
1321,"Beetle, Comal Springs dryopid",Stygoparnus comalensis,Endangered,Insect
1322,"Beetle, Comal Springs riffle",Heterelmis comalensis,Endangered,Insect
1323,"Beetle, delta green ground",Elaphrus viridis,Threatened,Insect
1324,"Beetle, Helotes mold",Batrisodes venyivi,Endangered,Insect
1325,"Beetle, Hungerford's crawling water",Brychius hungerfordi,Endangered,Insect
1326,"Beetle, Kretschmarr Cave mold",Texamaurops reddelli,Endangered,Insect
1327,"Beetle, Miami tiger",Cicindelidia floridana,Endangered,Insect
1328,"Beetle, Mount Hermon June",Polyphylla barbata,Endangered,Insect
1329,"Beetle, (no common name)",Rhadine exilis,Endangered,Insect
1330,"Beetle, (no common name)",Rhadine infernalis,Endangered,Insect
1331,"Beetle, Northeastern beach tiger",Cicindela dorsalis dorsalis,Threatened,Insect
1332,"Beetle, Ohlone tiger",Cicindela ohlone,Endangered,Insect
1333,"Beetle, Puritan tiger",Cicindela puritana,Threatened,Insect
1334,"Beetle, Salt Creek tiger",Cicindela nevadica lincolniana,Endangered,Insect
1335,"Beetle, Tooth Cave ground",Rhadine persephone,Endangered,Insect
1336,"Beetle, valley elderberry longhorn",Desmocerus californicus dimorphus,Threatened,Insect
1337,"Butterfly, Bartram's scrub-hairstreak",Strymon acis bartrami,Endangered,Insect
1338,"Butterfly, bay checkerspot",Euphydryas editha bayensis,Threatened,Insect
1339,"Butterfly, Behren's silverspot",Speyeria zerene behrensii,Endangered,Insect
1340,"Butterfly, callippe silverspot",Speyeria callippe callippe,Endangered,Insect
1341,"Butterfly, cassius blue",Leptotes cassius theonus,Threatened (S/A),Insect
1342,"Butterfly, ceraunus blue",Hemiargus ceraunus antibubastus,Threatened (S/A),Insect
1343,"Butterfly, Corsican swallowtail",Papilio hospiton,Endangered,Insect
1344,"Butterfly, El Segundo blue",Euphilotes battoides allyni,Endangered,Insect
1345,"Butterfly, Fender's blue",Icaricia icarioides fenderi,Endangered,Insect
1346,"Butterfly, Florida leafwing",Anaea troglodyta floridalis,Endangered,Insect
1347,"Butterfly, Homerus swallowtail",Papilio homerus,Endangered,Insect
1348,"Butterfly, Karner blue",Lycaeides melissa samuelis,Endangered,Insect
1349,"Butterfly, Lange's metalmark",Apodemia mormo langei,Endangered,Insect
1350,"Butterfly, lotis blue",Lycaeides argyrognomon lotis,Endangered,Insect
1351,"Butterfly, Luzon peacock swallowtail",Papilio chikae,Endangered,Insect
1352,"Butterfly, Mariana eight-spot (Ababbang, Libweibwogh)",Hypolimnas octocula marianensis,Endangered,Insect
1353,"Butterfly, Mariana wandering (Ababbang, Libweibwogh)",Vagrans egistina,Endangered,Insect
1354,"Butterfly, Miami blue",Cyclargus thomasi bethunebakeri,Endangered,Insect
1355,"Butterfly, mission blue",Icaricia icarioides missionensis,Endangered,Insect
1356,"Butterfly, Mitchell's satyr",Neonympha mitchellii mitchellii,Endangered,Insect
1357,"Butterfly, Mount Charleston blue",Icaricia (Plebejus) shasta charlestonensis,Endangered,Insect
1358,"Butterfly, Myrtle's silverspot",Speyeria zerene myrtleae,Endangered,Insect
1359,"Butterfly, nickerbean blue",Cyclargus ammon,Threatened (S/A),Insect
1360,"Butterfly, Oregon silverspot",Speyeria zerene hippolyta,Threatened,Insect
1361,"Butterfly, Oregon silverspot",Speyeria zerene hippolyta,XN,Insect
1362,"Butterfly, Palos Verdes blue",Glaucopsyche lygdamus palosverdesensis,Endangered,Insect
1363,"Butterfly, Queen Alexandra's birdwing",Troides alexandrae,Endangered,Insect
1364,"Butterfly, Quino checkerspot",Euphydryas editha quino,Endangered,Insect
1365,"Butterfly, Saint Francis' satyr",Neonympha mitchellii francisci,Endangered,Insect
1366,"Butterfly, San Bruno elfin",Callophrys mossii bayensis,Endangered,Insect
1367,"Butterfly, Schaus swallowtail",Heraclides aristodemus ponceanus,Endangered,Insect
1368,"Butterfly, Smith's blue",Euphilotes enoptes smithi,Endangered,Insect
1369,"Butterfly, Taylor's checkerspot",Euphydryas editha taylori,Endangered,Insect
1370,"Butterfly, Uncompahgre fritillary",Boloria acrocnema,Endangered,Insect
1371,"Damselfly, blackline Hawaiian",Megalagrion nigrohamatum nigrolineatum,Endangered,Insect
1372,"Damselfly, crimson Hawaiian",Megalagrion leptodemas,Endangered,Insect
1373,"Damselfly, flying earwig Hawaiian",Megalagrion nesiotes,Endangered,Insect
1374,"Damselfly, oceanic Hawaiian",Megalagrion oceanicum,Endangered,Insect
1375,"Damselfly, orangeblack Hawaiian",Megalagrion xanthomelas,Endangered,Insect
1376,"Damselfly, Pacific Hawaiian",Megalagrion pacificum,Endangered,Insect
1377,"Damselfly, Rota blue (Dulalas Luta, Dulalas Luuta)",Ischnura luta,Endangered,Insect
1378,"Dragonfly, Hine's emerald",Somatochlora hineana,Endangered,Insect
1379,"Fly, Delhi Sands flower-loving",Rhaphiomidas terminatus abdominalis,Endangered,Insect
1380,"Fly, Hawaiian picture-wing",Drosophila aglaia,Endangered,Insect
1381,"Fly, Hawaiian picture-wing",Drosophila differens,Endangered,Insect
1382,"Fly, Hawaiian picture-wing",Drosophila digressa,Endangered,Insect
1383,"Fly, Hawaiian picture-wing",Drosophila hemipeza,Endangered,Insect
1384,"Fly, Hawaiian picture-wing",Drosophila heteroneura,Endangered,Insect
1385,"Fly, Hawaiian picture-wing",Drosophila montgomeryi,Endangered,Insect
1386,"Fly, Hawaiian picture-wing",Drosophila mulli,Threatened,Insect
1387,"Fly, Hawaiian picture-wing",Drosophila musaphilia,Endangered,Insect
1388,"Fly, Hawaiian picture-wing",Drosophila neoclavisetae,Endangered,Insect
1389,"Fly, Hawaiian picture-wing",Drosophila obatai,Endangered,Insect
1390,"Fly, Hawaiian picture-wing",Drosophila ochrobasis,Endangered,Insect
1391,"Fly, Hawaiian picture-wing",Drosophila sharpi,Endangered,Insect
1392,"Fly, Hawaiian picture-wing",Drosophila substenoptera,Endangered,Insect
1393,"Fly, Hawaiian picture-wing",Drosophila tarphytrichia,Endangered,Insect
1394,"Grasshopper, Zayante band-winged",Trimerotropis infantilis,Endangered,Insect
1395,"Moth, Blackburn's sphinx",Manduca blackburni,Endangered,Insect
1396,"Moth, Kern primrose sphinx",Euproserpinus euterpe,Threatened,Insect
1397,"Naucorid, Ash Meadows",Ambrysus amargosus,Threatened,Insect
1398,"Skipper, Carson wandering",Pseudocopaeodes eunus obscurus,Endangered,Insect
1399,"Skipper, Dakota",Hesperia dacotae,Threatened,Insect
1400,"Skipper, Laguna Mountains",Pyrgus ruralis lagunae,Endangered,Insect
1401,"Skipper, Pawnee montane",Hesperia leonardus montana,Threatened,Insect
1402,"Skipperling, Poweshiek",Oarisma poweshiek,Endangered,Insect
1403,"Harvestman, Bee Creek Cave",Texella reddelli,Endangered,Arachnid
1404,"Harvestman, Bone Cave",Texella reyesi,Endangered,Arachnid
1405,"Harvestman, Cokendolpher cave",Texella cokendolpheri,Endangered,Arachnid
1406,"Meshweaver, Braken Bat Cave",Circurina venii,Endangered,Arachnid
1407,"Meshweaver, Government Canyon Bat Cave",Circurina vespera,Endangered,Arachnid
1408,"Meshweaver, Madla Cave",Cicurina madla,Endangered,Arachnid
1409,"Meshweaver, Robber Baron Cave",Cicurina baronia,Endangered,Arachnid
1410,"Pseudoscorpion, Tooth Cave",Tartarocreagris texana,Endangered,Arachnid
1411,"Spider, Government Canyon Bat Cave",Neoleptoneta microps,Endangered,Arachnid
1412,"Spider, ivory ornamental tiger",Poecilotheria subfusca,Endangered,Arachnid
1413,"Spider, Kauai cave wolf",Adelocosa anops,Endangered,Arachnid
1414,"Spider, ornate tiger",Poecilotheria ornata,Endangered,Arachnid
1415,"Spider, Pedersen's tiger",Poecilotheria vittata,Endangered,Arachnid
1416,"Spider, Smith's tiger",Poecilotheria smithi,Endangered,Arachnid
1417,"Spider, spruce-fir moss",Microhexura montivaga,Endangered,Arachnid
1418,"Spider, Sri Lanka ornamental tiger",Poecilotheria fasciata,Endangered,Arachnid
1419,"Spider, Tooth Cave",Neoleptoneta myopica,Endangered,Arachnid
1420,"Amphipod, diminutive",Gammarus hyalleloides,Endangered,Crustacean
1421,"Amphipod, Hay's Spring",Stygobromus hayi,Endangered,Crustacean
1422,"Amphipod, Illinois Cave",Gammarus acherondytes,Endangered,Crustacean
1423,"Amphipod, Kauai cave",Spelaeorchestia koloana,Endangered,Crustacean
1424,"Amphipod, Noel's",Gammarus desperatus,Endangered,Crustacean
1425,"Amphipod, Peck's cave",Stygobromus (=Stygonectes) Pecki,Endangered,Crustacean
1426,"Amphipod, Pecos",Gammarus pecos,Endangered,Crustacean
1427,"Crayfish, Big Sandy",Cambarus callainus,Threatened,Crustacean
1428,"Crayfish, cave",Cambarus aculabrum,Endangered,Crustacean
1429,"Crayfish, cave",Cambarus zophonastes,Endangered,Crustacean
1430,"Crayfish, Guyandotte River",Cambarus veteranus,Endangered,Crustacean
1431,"Crayfish, Nashville",Orconectes shoupi,Endangered,Crustacean
1432,"Crayfish, Shasta",Pacifastacus fortis,Endangered,Crustacean
1433,"Fairy shrimp, Conservancy",Branchinecta conservatio,Endangered,Crustacean
1434,"Fairy shrimp, longhorn",Branchinecta longiantenna,Endangered,Crustacean
1435,"Fairy shrimp, Riverside",Streptocephalus woottoni,Endangered,Crustacean
1436,"Fairy shrimp, San Diego",Branchinecta sandiegonensis,Endangered,Crustacean
1437,"Fairy shrimp, vernal pool",Branchinecta lynchi,Endangered,Crustacean
1438,"Isopod, Lee County cave",Lirceus usdagalun,Endangered,Crustacean
1439,"Isopod, Madison Cave",Antrolana lira,Threatened,Crustacean
1440,"Isopod, Socorro",Thermosphaeroma thermophilus,Endangered,Crustacean
1441,"Shrimp, Alabama cave",Palaemonias alabamae,Endangered,Crustacean
1442,"Shrimp, anchialine pool",Procaris hawaiana,Endangered,Crustacean
1443,"Shrimp, anchialine pool",Vetericaris chaceorum,Endangered,Crustacean
1444,"Shrimp, California freshwater",Syncaris pacifica,Endangered,Crustacean
1445,"Shrimp, Kentucky cave",Palaemonias ganteri,Endangered,Crustacean
1446,"Shrimp, Squirrel Chimney cave",Palaemonetes cummingi,Threatened,Crustacean
1447,"Tadpole shrimp, vernal pool",Lepidurus packardi,Endangered,Crustacean
1448,"Coral, (no common name)",Acropora globiceps,Threatened,Coral
1449,"Coral, (no common name)",Acropora jacquelineae,Threatened,Coral
1450,"Coral, (no common name)",Acropora lokani,Threatened,Coral
1451,"Coral, (no common name)",Acropora pharaonis,Threatened,Coral
1452,"Coral, (no common name)",Acropora retusa,Threatened,Coral
1453,"Coral, (no common name)",Acropora rudis,Threatened,Coral
1454,"Coral, (no common name)",Acropora speciosa,Threatened,Coral
1455,"Coral, (no common name)",Acropora tenella,Threatened,Coral
1456,"Coral, (no common name)",Anacropora spinosa,Threatened,Coral
1457,"Coral, (no common name)",Cantharellus noumeae,Endangered,Coral
1458,"Coral, (no common name)",Euphyllia paradivisa,Threatened,Coral
1459,"Coral, (no common name)",Isopora crateriformis,Threatened,Coral
1460,"Coral, (no common name)",Montipora australiensis,Threatened,Coral
1461,"Coral, (no common name)",Pavona diffluens,Threatened,Coral
1462,"Coral, (no common name)",Porites napopora,Threatened,Coral
1463,"Coral, (no common name)",Seriatopora aculeata,Threatened,Coral
1464,"Coral, (no common name)",Siderastrea glynni,Endangered,Coral
1465,"Coral, (no common name)",Tubastraea floreana,Endangered,Coral
1466,"Coral, boulder star",Orbicella franksi,Threatened,Coral
1467,"Coral, elkhorn",Acropora palmata,Threatened,Coral
1468,"Coral, lobed star",Orbicella annularis,Threatened,Coral
1469,"Coral, mountainous star",Orbicella faveolata,Threatened,Coral
1470,"Coral, pillar",Dendrogyra cylindrus,Threatened,Coral
1471,"Coral, rough cactus",Mycetophyllia ferox,Threatened,Coral
1472,"Coral, staghorn",Acropora cervicornis,Threatened,Coral
