"Symbol","Synonym Symbol","Scientific Name","Common Name","Status"
"ESSNL","","Escobaria sneedii Britton & Rose var. leei (Rose ex Boed.) D.R. Hunt","",""
"ESSNL","COSNL","Coryphantha sneedii (Britton & Rose) A. Berger var. leei (Rose ex Boed.) L.D. Benson","Lee pincushion cactus","T"
"ESSNS","","Escobaria sneedii Britton & Rose var. sneedii","",""
"ESSNS","COSN","Coryphantha sneedii (Britton & Rose) A. Berger","Sneed pincushion cactus","E"
"EUHA4","","Eugenia haematocarpa Alain","uvillo","E"
"EUKO","","Eugenia koolauensis O. Deg.","nioi","E"
"EUWO2","","Eugenia woodburyana Alain","","E"
"EUHA2","","Euphorbia haeleeleana D.R. Herbst","`akoko","E"
"EUTE6","","Euphorbia telephioides Chapm.","Telephus spurge","T"
"EUPE10","","Eutrema penlandii Rollins","Penland alpine fen mustard","T"
"EXLU","","Exocarpos luteolus Forbes","heau","E"
"FICU2","","Fitzroya cupressoides (Molina) I.M. Johnst.","Chilean false larch","T"
"FLNE","","Flueggea neowawraea W.J. Hayden","mehamehame","E"
"FRJO","","Frankenia johnstonii Correll","Johnston's frankenia","E"
"FRDE2","","Fremontodendron decumbens R. Lloyd","",""
"FRDE2","FRCAD","Fremontodendron californicum (Torr.) Coville ssp. decumbens (R. Lloyd) Munz","Pine Hill flannelbush","E"
"FRME2","","Fremontodendron mexicanum Davidson","Mexican flannelbush","E"
"FRGE","","Fritillaria gentneri Gilkey","Gentner's fritillary","E"
"GALA7","","Gahnia lanaiensis O. Deg., I. Deg. & J. Kern","","E"
"GASM","","Galactia smallii H.J. Rogers ex Herndon","Small's milkpea","E"
"GABU","","Galium buxifolium Greene","island bedstraw","E"
"GACAS","","Galium californicum Hook. & Arn. ssp. sierrae Dempster & Stebbins","El Dorado bedstraw","E"
"GABR","","Gardenia brighamii Gardenia brighamii","Hawaiian gardenia","E"
"GAMA6","","Gardenia mannii H. St. John & Kuykend.","nanu","E"
"GEMI","","Geocarpon minimum Mack.","","T"
"GEAR","","Geranium arboreum A. Gray","Hawaiian red-flowered geranium","E"
"GEMU","","Geranium multiflorum A. Gray","nohoanu","E"
"GEPA3","","Gesneria pauciflora Urb.","","T"
"GERA2","","Geum radiatum Michx.","spreading avens","E"
"GITEA2","","Gilia tenuiflora Benth. ssp. arenaria (Benth.) A.D. Grant & V.E. Grant","Monterey gilia","E"
"GITEH","","Gilia tenuiflora Benth. ssp. hoffmannii (Eastw.) A.D. Grant & V.E. Grant","Hoffmann's slender-flowered gilia","E"
"GLSU","","Glaucocarpum suffrutescens (Rollins) Rollins","",""
"GLSU","SCSU2","Schoenocrambe suffrutescens (Rollins) S.L. Welsh & Chatterley","shrubby reed-mustard","E"
"GOEL","","Goetzea elegans Wydler","beautiful goetzea","E"
"GOHI2","","Gouania hillebrandii Oliv. ex Hillebr.","","E"
"GOME","","Gouania meyenii Steud.","","E"
"GOVI","","Gouania vitifolia A. Gray","","E"
"GRFR","","Grindelia fraxinopratensis Reveal & Beatley","Ash Meadows gumplant","T"
"GYLI","","Gymnoderma lineare (A. Evans) Yoshim. & Sharp","rock gnome lichen","E"
"HAVE4","","Hackelia venusta (Piper) H. St. John","showy stickseed","E"
"HAJO","","Halophila johnsonii Eiseman","Johnson's seagrass","T"
"HAHA4","","Haplostachys haplostachya (A. Gray) H. St. John","honohono","E"
"HAFL3","","Harperocallis flava McDaniel","Harper's beauty","E"
"HAFR3","","Harrisia fragrans Small ex Britton & Rose","",""
"HAFR3","CEERF","Cereus eriophorus N.E. Pfeiffer & Otto var. fragrans (Small ex Britton & Rose) L.D. Benson","fragrant prickly-apple","E"
"HAPO2","","Harrisia portoricensis Britton","higo chumbo","T"
"HETO2","","Hedeoma todsenii Irving","Todsen's pennyroyal","E"
"HECO13","","Hedyotis cookiana (Cham. & Schltdl.) Steud.","awiwi","E"
"HECO14","","Hedyotis coriacea Sm.","kio`ele","E"
"HEDE3","","Hedyotis degeneri Fosberg","","E"
"HEMA8","","Hedyotis mannii Fosberg","pilo","E"
"HEPA14","","Hedyotis parvula (A. Gray) Fosberg","","E"
"HESCR7","","Hedyotis schlechtendahliana Steud. ssp. remyi (Hillebr.) Fosberg","",""
"HESCR7","HESCR3","Hedyotis schlechtendahliana Steud. var. remyi (Hillebr.) Fosberg","kopa","E"
"HEST2","","Hedyotis st.-johnii B.C. Stone & M.A. Lane","Na Pali beach hedyotis","E"
"HEVI6","","Helenium virginicum S.F. Blake","Virginia sneezeweed","T"
"HEGR2","","Helianthemum greenei B.L. Rob.","island rush-rose","T"
"HEPA2","","Helianthus paradoxus Heiser","Pecos sunflower","T"
"HESC3","","Helianthus schweinitzii Torr. & A. Gray","Schweinitz's sunflower","E"
"HEBU","","Helonias bullata L.","swamp pink","T"
"HEAB2","","Hesperocyparis abramsiana (C.B. Wolf) Bartel","",""
"HEAB2","CUAB","Cupressus abramsiana C.B. Wolf","Santa Cruz cypress","E"
"HEGO3","","Hesperocyparis goveniana (Gordon) Bartel","",""
"HEGO3","CUGOG","Cupressus goveniana Gord. ssp. goveniana","Gowen cypress","T"
"HECO12","","Hesperolinon congestum (A. Gray) Small","Marin dwarf-flax","T"
"HEAR9","","Hesperomannia arborescens A. Gray","","E"
"HEAR10","","Hesperomannia arbuscula Hillebr.","","E"
"HELY","","Hesperomannia lydgatei Forbes","","E"
"HENA3","","Hexastylis naniflora Blomquist","dwarf-flowered heartleaf","T"
"HIDI","","Hibiscadelphus distans Bishop & D.R. Herbst","Kauai hau kuahiwi","E"
"HIGI","","Hibiscadelphus giffardianus Rock","hau kuahiwi","E"
"HIHU","","Hibiscadelphus hualalaiensis Rock","hau kuahiwi","E"
"HIWO","","Hibiscadelphus woodii D.H. Lorence & W.L. Wagner","hau kuahiwi","E"
"HIARI","","Hibiscus arnottianus A. Gray ssp. immaculatus (Roe) D.M. Bates","koki`o ke`oke`o","E"
"HIBR","","Hibiscus brackenridgei A. Gray","ma`o hau hele","E"
"HICL","","Hibiscus clayi O. Deg. & I. Deg.","Clay's hibiscus","E"
"HIWAH","","Hibiscus waimeae A. Heller ssp. hannerae (O. Deg. & I. Deg.) D.M. Bates","koki`o ke`oke`o","E"
"HOTE","","Hoffmannseggia tenella Tharp & L.O. Williams","slender rush-pea","E"
"HOMA","","Holocarpha macradenia (DC.) Greene","Santa Cruz tarplant","T"
"HOPUM","","Houstonia purpurea L. var. montana (Small) Terrell","",""
"HOPUM","HEPUM2","Hedyotis purpurea (L.) Torr. & A. Gray var. montana (Small) Fosberg","Roan Mountain bluet","E"
"HOAQ","","Howellia aquatilis A. Gray","Water howellia","T"
"HUMO","","Hudsonia montana Nutt.","mountain golden heather","T"
"HUMA","","Huperzia mannii (Hillebr.) Kartesz & Gandhi","wawae`iole","E"
"HUNU","","Huperzia nutans (Brack.) Rothm.","",""
"HUNU","LYNU2","Lycopodium nutans Brack.","wawae`iole","E"
"HYTE5","","Hymenoxys texana (J.M. Coult. & Rose) Cockerell","Texas prairie dawn-flower","E"
"HYCU","","Hypericum cumulicola (Small) P. Adams","highlands scrub hypericum","E"
"ILCO3","","Ilex cookii Britton & P. Wilson","Cook's holly","E"
"ILOBO","","Ilex obcordata Sw. var. obcordata","",""
"ILOBO","ILSI2","Ilex sintenisii (Urb.) Britton","","E"
"ILRIR","","Iliamna rivularis (Douglas ex Hook.) Greene var. rivularis","",""
"ILRIR","ILCO4","Iliamna corei Sherff","Peter's Mountain mallow","E"
"IPSA2","","Ipomopsis sancti-spiritus Wilken & Fletcher","Holy Ghost ipomopsis","E"
"IRLA","","Iris lacustris Nutt.","dwarf lake iris","T"
"ISBY","","Ischaemum byrone (Trin.) Hitchc.","Hilo ischaemum","E"
"ISHO2","","Isodendrion hosakae H. St. John","aupaka","E"
"ISLA3","","Isodendrion laurifolium A. Gray","aupaka","E"
"ISLO2","","Isodendrion longifolium A. Gray","aupaka","T"
"ISPY","","Isodendrion pyrifolium A. Gray","Kula wahine noho","E"
"ISLO","","Isoetes louisianensis Thieret","Louisiana quillwort","E"
"ISME3","","Isoetes melanospora Engelm.","black spored quillwort","E"
"ISTE","","Isoetes tegetiformans Rury","mat-forming quillwort","E"
"ISME2","","Isotria medeoloides (Pursh) Raf.","small whorled pogonia","T"
"IVKI","","Ivesia kingii S. Watson","",""
"IVKI","IVKIE","Ivesia kingii S. Watson var. eremica (Coville) Ertter","Ash Meadows ivesia","T"
"JARE","","Jacquemontia reclinata House","beach jacquemontia","E"
"JACO","","Jatropha costaricensis G.L. Webster & Poveda","Costa Rican jatropha","E"
"JUJA","","Juglans jamaicensis C. DC.","West Indian walnut","E"
"JUCO8","","Justicia cooleyi Monachino & Leonard","Cooley's water-willow","E"
"KAKA","","Kanaloa kahoolawensis D.H. Lorence & K.R. Wood","kohe malama malama o kanaloa","E"
"KOCO2","","Kokia cookei O. Deg.","Cooke's koki`o","E"
"KODR","","Kokia drynarioides (Seem.) Lewt.","koki`o","E"
"KOKA","","Kokia kauaiensis (Rock) O. Deg. & Duvel","koki`o","E"
"LACY","","Labordia cyrtandrae (Baill.) H. St. John","kamakahala","E"
"LALY2","","Labordia lydgatei Forbes","kamakahala","E"
"LATIL","","Labordia tinifolia A. Gray var. lanaiensis Sherff","kamakahala","E"
"LATIW2","","Labordia tinifolia A. Gray var. wahiawaensis H. St. John","kamakahala","E"
"LATR4","","Labordia triflora Hillebr.","kamakahala","E"
"LABU","","Lasthenia burkei (Greene) Greene","Burke's goldfields","E"
"LACO6","","Lasthenia conjugens Greene","Contra Costa goldfields","E"
"LACA4","","Layia carnosa (Nutt.) Torr. & A. Gray","beach layia","E"
"LEEL2","","Lepanthes eltoroensis Stimson","","E"
"LEAR5","","Lepidium arbuscula Hillebr.","`anaunau","E"
"LEBA","","Lepidium barnebyanum Reveal","Barneby ridge-cress","E"
"LEGR6","","Leptocereus grantianus Britton","","E"
"LELE5","","Lespedeza leptostachya Engelm.","prairie bush-clover","T"
"LECO10","","Lesquerella congesta Rollins","Dudley Bluffs bladderpod","T"
"LEFI2","","Lesquerella filiformis Rollins","Missouri bladderpod","T"
"LEKIB","","Lesquerella kingii S. Watson ssp. bernardina (Munz) Munz","San Bernardino Mountains bladderpod","E"
"LELY","","Lesquerella lyrata Rollins","lyrate bladderpod","T"
"LEPA4","","Lesquerella pallida (Torr. & A. Gray) S. Watson","white bladderpod","E"
"LEPE3","","Lesquerella perforata Rollins","Spring Creek bladderpod","E"
"LERU4","","Lesquerella rubicundula Rollins","",""
"LERU4","LETU","Lesquerella tumulosa (Barneby) Reveal","kodachrome bladderpod","E"
"LETH3","","Lesquerella thamnophila Rollins & Shaw","Zapata bladderpod","E"
"LEGE","","Lessingia germanorum Cham.","San Francisco lessingia","E"
"LIHE2","","Liatris helleri Porter","Heller's blazingstar","T"
"LIOH","","Liatris ohlingerae (S.F. Blake) B.L. Rob.","scrub blazingstar","E"
"LISCR","","Lilaeopsis schaffneriana (Schltdl.) J.M. Coult. & Rose var. recurva (A.W. Hill) Affolter","Huachuca water-umbel","E"
"LIOC2","","Lilium occidentale Purdy","western lily","E"
"LIPAP5","","Lilium pardalinum Kellogg ssp. pitkinense (Beane & Vollmer) M.W. Skinner","Pitkin Marsh lily","E"
"LIFLC2","","Limnanthes floccosa Howell ssp. californica Arroyo","Butte County meadowfoam","E"
"LIPUG","","Limnanthes pumila Howell ssp. grandiflora (Arroyo) S.C. Meyers & K.L. Chambers","",""
"LIPUG","LIFLG","Limnanthes floccosa Howell ssp. grandiflora Arroyo","large-flowered woolly meadowfoam","E"
"LIVI3","","Limnanthes vinculans Ornduff","Sebastopol meadowfoam","E"
"LIME7","","Lindera melissifolia (Walter) Blume","pondberry","E"
"LIFA2","","Lipochaeta fauriei Levl.","nehe","E"
"LIKA","","Lipochaeta kamolensis O. Deg. & Sherff","nehe","E"
"LILOL","","Lipochaeta lobata (Gaudich.) DC. var. leptophylla O. Deg. & Sherff","nehe","E"
"LIMI8","","Lipochaeta micrantha (Nutt.) A. Gray","nehe","E"
"LITE7","","Lipochaeta tenuifolia A. Gray","nehe","E"
"LIVE5","","Lipochaeta venosa Sherff","","E"
"LIWA2","","Lipochaeta waimeaensis H. St. John","nehe","E"
"LIMA6","","Lithophragma maximum Bacig.","San Clemente Island woodland-star","E"
"LOGAK3","","Lobelia gaudichaudii A. DC. ssp. koolauensis (Hosaka & Fosberg) Lammers","","E"
"LOMO3","","Lobelia monostachya (Rock) Lammers","","E"
"LONI","","Lobelia niihauensis H. St. John","","E"
"LOOA","","Lobelia oahuensis Rock","","E"
"LOBR","","Lomatium bradshawii (Rose ex Mathias) Mathias & Constance","Bradshaw's desert-parsley","E"
"LOCO8","","Lomatium cookii J.S. Kagan","Cook's lomatium","E"
"LODET","","Lotus dendroideus (Greene) Greene var. traskiae (Eastw. ex Noddin) Isely","San Clemente Island broom","E"
"LUNI2","","Lupinus nipomensis Eastw.","Nipomo Mesa lupine","E"
"LUORK","","Lupinus oreganus A. Heller var. kincaidii C.P. Sm.","Kincaid's lupine","T"
"LUTI","","Lupinus tidestromii Greene","clover lupine","E"
"LUWEA","","Lupinus westianus Small var. aridorum (McFarlin ex Beckner) Isely","",""
"LUWEA","LUAR11","Lupinus aridorum McFarlin ex Beckner","scrub lupine","E"
"LYTRP","","Lyonia truncata Urb. var. proctorii W.S. Judd","","E"
"LYAS2","","Lysimachia asperulifolia Poir.","rough-leaved loosestrife","E"
"LYFI2","","Lysimachia filifolia Forbes","","E"
"LYLY","","Lysimachia lydgatei Hillebr.","","E"
"LYMA5","","Lysimachia maxima (R. Knuth) H. St. John","","E"
"MAAL7","","Macbridea alba Chapm.","white birds-in-a-nest","T"
"MANE3","","Mahonia nevinii (A. Gray) Fedde","",""
"MANE3","BENE","Berberis nevinii A. Gray","Nevin's barberry","E"
"MAPII","","Mahonia pinnata (Lag.) Fedde ssp. insularis (Munz) J.B. Roof","",""
"MAPII","BEPII","Berberis pinnata Lag. ssp. insularis Munz","island barberry","E"
"MACL","","Malacothamnus clementinus (Munz & I.M. Johnst.) Kearney","San Clemente Island bush-mallow","E"
"MAFA","","Malacothamnus fasciculatus (Nutt. ex Torr. & A. Gray) Greene","",""
"MAFA","MAFAN","Malacothamnus fasciculatus (Nutt. ex Torr. & A. Gray) Greene var. nesioticus (B.L. Rob.) Kearney","Santa Cruz Island bush-mallow","E"
"MAIN2","","Malacothrix indecora Greene","Santa Cruz Island malacothrix","E"
"MASQ","","Malacothrix squalida Greene","island malacothrix","E"
"MAWA","","Manihot walkerae Croizat","Walker's manioc","E"
"MAMO3","","Marshallia mohrii Beadle & F.E. Boynt.","Mohr's Barbara button","T"
"MAVI4","","Marsilea villosa Kaulf.","ihi`ihi","E"
"MEAD","","Melicope adscendens (H. St. John & Hume) T.G. Hartley & B.C. Stone","alani","E"
"MEBA2","","Melicope balloui (Rock) T.G. Hartley & B.C. Stone","alani","E"
"MEHA3","","Melicope haupuensis (H. St. John) T.G. Hartley & B.C. Stone","alani","E"
"MEKN","","Melicope knudsenii (Hillebr.) T.G. Hartley & B.C. Stone","alani","E"
"MELY","","Melicope lydgatei (Hillebr.) T.G. Hartley & B.C. Stone","alani","E"
"MEMU4","","Melicope mucronulata (H. St. John) T.G. Hartley & B.C. Stone","alani","E"
"MEMU5","","Melicope munroi (H. St. John) T.G. Hartley & B.C. Stone","alani","E"
"MEOV","","Melicope ovalis (H. St. John) T.G. Hartley & B.C. Stone","alani","E"
"MEPA6","","Melicope pallida (Hillebr.) T.G. Hartley & B.C. Stone","alani","E"
"MEQU3","","Melicope quadrangularis (H. St. John & Hume) T.G. Hartley & B.C. Stone","alani","E"
"MERE3","","Melicope reflexa (H. St. John) T.G. Hartley & B.C. Stone","alani","E"
"MESA4","","Melicope saint-johnii (Hume) T.G. Hartley & B.C. Stone","alani","E"
"MEZA","","Melicope zahlbruckneri (Rock) T.G. Hartley & B.C. Stone","alani","E"
"MELE3","","Mentzelia leucophylla Brandegee","Ash Meadows blazingstar","T"
"MIGLM","","Mimulus glabratus Kunth var. michiganensis (Pennell) Fassett","Michigan monkey-flower","E"
"MICU3","","Minuartia cumberlandensis (B.E. Wofford & Kral) McNeill","",""
"MICU3","ARCU5","Arenaria cumberlandensis B.E. Wofford & Kral","Cumberland sandwort","E"
"MIMA2","","Mirabilis macfarlanei Constance & Rollins","MacFarlane's four-o'clock","T"
"MIMA6","","Mitracarpus maxwelliae Britton & P. Wilson","","E"
"MIPO2","","Mitracarpus polycladus Urb.","","E"
"MOLIV","","Monardella linoides A. Gray ssp. viminea (Greene) Abrams","willowy monardella","E"
"MOCO7","","Monolopia congdonii (A. Gray) B.G. Baldw.","San Joaquin wooly-threads","E"
"MURA3","","Munroidendron racemosum (Forbes) Sherff","","E"
"MYPA","","Myrcia paganii Krug & Urb.","","E"
"MYJU","","Myrsine juddii Hosaka","kolea","E"
"MYLI","","Myrsine linearifolia Hosaka","kolea","T"
"NAGA","","Nasturtium gambelii (S. Watson) O.E. Schulz","",""
"NAGA","ROGA2","Rorippa gambelii (S. Watson) Rollins & Al-Shehbaz","Gambel's watercress","E"
"NAFO","","Navarretia fossalis Moran","spreading navarretia","T"
"NALEP","","Navarretia leucocephala Benth. ssp. pauciflora (H. Mason) Day","",""
"NALEP","NAPA2","Navarretia pauciflora H. Mason","few-flowered navarretia","E"
"NALEP2","","Navarretia leucocephala Benth. ssp. plieantha (H. Mason) Day","many-flowered navarretia","E"
"NECO2","","Neostapfia colusana (Burtt Davy) Burtt Davy","Colusa grass","T"
"NEAN","","Neraudia angulata Cowan","","E"
"NEOV","","Neraudia ovata Gaudich.","","E"
"NESE2","","Neraudia sericea Gaudich.","","E"
"NERO","","Nesogenes rotensis Fosberg & D.R. Herbst","","E"
"NIMO","","Nitrophila mohavensis Munz & Roos","Amargosa niterwort","E"
"NOFEC","","Noccaea fendleri (A. Gray) Holub ssp. californica (S. Watson) Al-Shehbaz & M. Koch","",""
"NOFEC","NOCA3","Noccaea californica (S. Watson) Kartesz, ined.","",""
"NOFEC","THCA3","Thlaspi californicum S. Watson","Kneeland Prairie penny-cress","E"
"NOBR","","Nolina brittoniana Nash","Britton's beargrass","E"
"NOBR2","","Nothocestrum breviflorum A. Gray","`aiea","E"
"NOPE","","Nothocestrum peltatum Skottsb.","`aiea","E"
"NOHU","","Nototrichium humile Hillebr.","kulu`i","E"
"OCKI","","Ochrosia kilaueaensis H. St. John","holei","E"
"OECAE2","","Oenothera californica (S. Watson) S. Watson ssp. eurekensis (Munz & Roos) W. Klein","",""
"OECAE2","OEAVE","Oenothera avita (W. Klein) W. Klein ssp. eurekensis (Munz & Roos) W. Klein","Eureka Valley evening-primrose","E"
"OECOC","","Oenothera coloradensis (Rydb.) W.L. Wagner & Hoch ssp. coloradensis","",""
"OECOC","GANEC","Gaura neomexicana Woot. ssp. coloradensis (Rydb.) P.H. Raven & Gregory","",""
"OECOC","GANEC2","Gaura neomexicana Woot. var. coloradensis (Rydb.) Munz","Colorado butterfly plant","T"
"OEDEH","","Oenothera deltoides Torr. & Frém. ssp. howellii (Munz) W. Klein","Antioch Dunes evening-primrose","E"
"OLHO","","Oligoneuron houghtonii (Torr. & A. Gray ex A. Gray) G.L. Nesom","",""
"OLHO","SOHO","Solidago houghtonii Torr. & A. Gray ex A. Gray","Houghton's goldenrod","T"
"OPBAT","","Opuntia basilaris Engelm. & Bigelow var. treleasei (J.M. Coult.) J.M. Coult. ex Toumey","",""
"OPBAT","OPTR3","Opuntia treleasei J.M. Coult.","Bakersfield cactus","E"
"ORCA","","Orcuttia californica Vasey","California Orcutt grass","E"
"ORIN","","Orcuttia inaequalis Hoover","San Joaquin Orcutt grass","T"
"ORPI","","Orcuttia pilosa Hoover","hairy Orcutt grass","E"
"ORTE","","Orcuttia tenuis Hitchc.","slender Orcutt grass","T"
"ORVI2","","Orcuttia viscida (Hoover) J. Reeder","Sacramento Orcutt grass","E"
"OSMA","","Osmoxylon mariannense (Kaneh.) Fosberg & Sachet","","E"
"OTRH","","Ottoschulzia rhodoxylon (Urb.) Urb.","palo de rosa","E"
"OXCA2","","Oxypolis canbyi (J.M. Coult. & Rose) Fernald","Canby's dropwort","E"
"OXPAG","","Oxytheca parishii Parry var. goodmaniana Ertter","Cushenbury oxytheca","E"
"OXCAC","","Oxytropis campestris (L.) DC. var. chartacea (Fassett) Barneby","Fassett's locoweed","T"
"PAFR6","","Packera franciscana (Greene) W.A. Weber & Á. Löve","",""
"PAFR6","SEFR2","Senecio franciscanus Greene","San Francisco Peaks groundsel","T"
"PALA41","","Packera layneae (Greene) W.A. Weber & Á. Löve","",""
"PALA41","SELA4","Senecio layneae Greene","Layne's butterweed","T"
"PAFAC","","Panicum fauriei Hitchc. var. carteri (Hosaka) Davidse","Carter's panicgrass","E"
"PANI","","Panicum niihauense H. St. John","lau `ehu","E"
"PACH6","","Paronychia chartacea Fernald","papery whitlow-wort","T"
"PEFU","","Pedicularis furbishiae S. Watson","Furbish lousewort","E"
"PEBR2","","Pediocactus bradyi L.D. Benson","Brady pincushion cactus","E"
"PEDE17","","Pediocactus despainii S.L. Welsh & Goodrich","San Rafael cactus","E"
"PEKN2","","Pediocactus knowltonii L.D. Benson","Knowlton cactus","E"
"PEPE8","","Pediocactus peeblesianus (Croizat) L.D. Benson","",""
"PEPE8","PEPEP2","Pediocactus peeblesianus (Croizat) L.D. Benson var. peeblesianus","Peebles Navajo cactus","E"
"PESI4","","Pediocactus sileri (Engelm. ex J.M. Coult.) L.D. Benson","Siler pincushion cactus","T"
"PEWI2","","Pediocactus winkleri K.D. Heil","Winkler cactus","T"
"PEHA12","","Penstemon haydenii S. Watson","blowout penstemon","E"
"PEPE25","","Penstemon penlandii W.A. Weber","Penland beardtongue","E"
"PEBE","","Pentachaeta bellidiflora Greene","white-rayed pentachaeta","E"
"PELY4","","Pentachaeta lyonii A. Gray","Lyon's pentachaeta","E"
"PEWH2","","Peperomia wheeleri Britton","Wheeler's peperomia","E"
"PESA6","","Peucedanum sandwicense Hillebr.","makou","T"
"PHAR2","","Phacelia argillacea N.D. Atwood","clay phacelia","E"
"PHFO2","","Phacelia formosula Osterh.","North Park phacelia","E"
"PHINI4","","Phacelia insularis Munz var. insularis","island phacelia","E"
"PHHI7","","Phlox hirsuta E.E. Nelson","Yreka phlox","E"
"PHNIT","","Phlox nivalis Lodd. ex Sweet ssp. texensis Lundell","Texas trailing phlox","E"
"PHGLL2","","Phyllostegia glabra (Gaudich.) Benth. var. lanaiensis Sherff","","E"
"PHHI5","","Phyllostegia hirsuta Benth.","","E"
"PHKA6","","Phyllostegia kaalaensis H. St. John","","E"
"PHKN","","Phyllostegia knudsenii Hillebr.","","E"
"PHMA12","","Phyllostegia mannii Sherff","","E"
"PHMO7","","Phyllostegia mollis Benth.","","E"
"PHPA14","","Phyllostegia parviflora (Gaudich.) Benth.","","E"
"PHRA6","","Phyllostegia racemosa Benth.","kiponapona","E"
"PHVE8","","Phyllostegia velutina (Sherff) H. St. John","","E"
"PHWA","","Phyllostegia waimeae Wawra","","E"
"PHWA3","","Phyllostegia warshaueri H. St. John","","E"
"PHWA2","","Phyllostegia wawrana Sherff","","E"
"PHOB","","Physaria obcordata Rollins","Dudley Bluffs twinpod","T"
"PIPO4","","Pilosocereus polygonus (Lam.) Byles & Rowley","",""
"PIPO4","PIRO5","Pilosocereus robinii (Lem.) Byles & Rowley","Key tree cactus","E"
"PIIO","","Pinguicula ionantha Godfrey","Godfrey's butterwort","T"
"PIYA","","Piperia yadonii R. Morgan & Ackerman","Yadon's piperia","E"
"PIRU3","","Pityopsis ruthii (Small) Small","Ruth's golden aster","E"
"PLHI6","","Plagiobothrys hirtus (Greene) I.M. Johnst.","rough popcornflower","E"
"PLST2","","Plagiobothrys strictus (Greene) I.M. Johnst.","Calistoga allocarya","E"
"PLHA2","","Plantago hawaiensis (A. Gray) Pilg.","Kuahiwi laukahi","E"
"PLPR","","Plantago princeps Cham. & Schltdl.","Kuahiwi laukahi","E"
"PLHO4","","Platanthera holochila (Hillebr.) Kraenzlin","","E"
"PLLE2","","Platanthera leucophaea (Nutt.) Lindl.","eastern prairie fringed orchid","T"
"PLPR4","","Platanthera praeclara Sheviak & Bowles","western prairie fringed orchid","T"
"PLMA6","","Pleodendron macranthum (Baill.) v. Tiegh.","chupacallos","E"
"PLHA4","","Pleomele hawaiiensis O. Deg. & I. Deg.","hala pepe","E"
"POAT","","Poa atropurpurea Scribn.","San Bernardino bluegrass","E"
"POMA5","","Poa mannii Munro ex Hillebr.","Mann's bluegrass","E"
"PONA","","Poa napensis Beetle","Napa bluegrass","E"
"POSA2","","Poa sandvicensis (Reichart) Hitchc.","Hawaiian bluegrass","E"
"POSI","","Poa siphonoglossa Hack.","","E"
"POAB2","","Pogogyne abramsii J.T. Howell","San Diego mesa-mint","E"
"PONU","","Pogogyne nudiuscula A. Gray","Otay mesa-mint","E"
"POLE8","","Polygala lewtonii Small","Lewton's polygala","E"
"POSM3","","Polygala smallii R.R. Sm. & Ward","tiny polygala","E"
"POBA5","","Polygonella basiramia (Small) G.L. Nesom & V.M. Bates","wireweed","E"
"POMY2","","Polygonella myriophylla (Small) Horton","sandlace","E"
"POHI14","","Polygonum hickmanii H. Hinds & R. Morgan","Scotts Valley polygonum","E"
"POAL6","","Polystichum aleuticum C. Chr.","Aleutian shield fern","E"
"POCA27","","Polystichum calderonense Proctor","","E"
"POSC9","","Portulaca sclerocarpa A. Gray","po`e","E"
"POCL","","Potamogeton clystocarpus Fernald","Little Aguja pondweed","E"
"POHI5","","Potentilla hickmanii Eastw.","Hickman's potentilla","E"
"PRCUM","","Primula cusickiana (A. Gray) A. Gray var. maguirei (L.O. Williams) N.H. Holmgren & S. Kelso","",""
"PRCUM","PRMA7","Primula maguirei L.O. Williams","Maguire primrose","T"
"PRAY","","Pritchardia aylmer-robinsonii H. St. John","wahane","E"
"PRAY","PRREA","Pritchardia remota Becc. ssp. aylmer-robinsonii (H. St. John) R.W. Read, ined.","",""
"PRKA","","Pritchardia kaalae Rock","lo`ulu","E"
"PRMA15","","Pritchardia maideniana Becc.","",""
"PRMA15","PRAF","Pritchardia affinis Becc.","lo`ulu","E"
"PRMU3","","Pritchardia munroi Rock","lo`ulu","E"
"PRNA2","","Pritchardia napaliensis H. St. John","lo`ulu","E"
"PRNA2","PRREN","Pritchardia remota Becc. ssp. napaliensis (H. St. John) R.W. Read, ined.","",""
"PRRE","","Pritchardia remota Becc.","lo`ulu","E"
"PRSC","","Pritchardia schattaueri Hodel","lo`ulu","E"
"PRVI2","","Pritchardia viscosa Rock","lo`ulu","E"
"PRGE","","Prunus geniculata Harper","scrub plum","E"
"PSBA","","Pseudobahia bahiifolia (Benth.) Rydb.","Hartweg's golden sunburst","E"
"PSPE","","Pseudobahia peirsonii Munz","San Joaquin adobe sunburst","T"
"PTKA","","Pteralyxia kauaiensis Caum","kaulu","E"
"PTLY","","Pteris lydgatei (Baker) Christ","","E"
"PTNO","","Ptilimnium nodosum (Rose) Mathias","harperella","E"
"PUSU2","","Purshia ×subintegra (Kearney) Henrickson [pinkavae × stansburiana]","Arizona cliff-rose","E"
"QUHI","","Quercus hinckleyi C.H. Mull.","Hinckley oak","T"
"RAAE","","Ranunculus aestivalis (L.D. Benson) Van Buren & Harper","",""
"RAAE","RAACA","Ranunculus acriformis A. Gray var. aestivalis L.D. Benson","autumn buttercup","E"
"REKA","","Remya kauaiensis Hillebr.","","E"
"REMA2","","Remya mauiensis Hillebr.","Maui remya","E"
"REMO","","Remya montgomeryi W.L. Wagner & D.R. Herbst","","E"
"RHINL","","Rhodiola integrifolia Raf. ssp. leedyi (Rosend. & J.W. Moore) Kartesz","",""
