"Symbol","Synonym Symbol","Scientific Name","Common Name","Status"
"ASLEP3","","Astragalus lentiginosus Douglas ex Hook. var. piscinensis Barneby","Fish Slough milk-vetch","T"
"ASLIM","","Astragalus limnocharis Barneby var. montii (S.L. Welsh) Isely","",""
"ASLIM","ASMO11","Astragalus montii S.L. Welsh","heliotrope milk-vetch","T"
"ASMAP","","Astragalus magdalenae Greene var. peirsonii (Munz & McBurney) Barneby","Peirson's milk-vetch","T"
"ASOS","","Astragalus osterhoutii M.E. Jones","Osterhout milk-vetch","E"
"ASPH","","Astragalus phoenix Barneby","Ash Meadows milk-vetch","T"
"ASPYL","","Astragalus pycnostachyus A. Gray var. lanosissimus (Rydb.) Munz & McBurney","Ventura Marsh milk-vetch","E"
"ASROJ","","Astragalus robbinsii (Oakes) A. Gray var. jesupii Eggl. & Sheldon","Jesup's milk-vetch","E"
"ASTET","","Astragalus tener A. Gray var. titi (Eastw.) Barneby","coastal dunes milk-vetch","E"
"ASTR5","","Astragalus tricarinatus A. Gray","triple-ribbed milk-vetch","E"
"ASAS6","","Astrophytum asterias (Zucc.) Lem.","star cactus","E"
"ATCON","","Atriplex coronata S. Watson var. notatior Jeps.","San Jacinto Valley crownscale","E"
"AUPA2","","Auerodendron pauciflorum Alain","","E"
"AYLI","","Ayenia limitaris Cristobal","Texas ayenia","E"
"BAVA3","","Baccharis vanessae R.M. Beauch.","Encinitas baccharis","T"
"BAVA2","","Banara vanderbiltii Urb.","palo de ramon","E"
"BAAR","","Baptisia arachnifera Duncan","hairy rattleweed","E"
"BEUB","","Betula uber (Ashe) Fernald","Virginia round-leaf birch","T"
"BIMIK2","","Bidens micrantha Gaudich. ssp. kalealaha Nagata & Ganders","ko`oko`olau","E"
"BIWI","","Bidens wiebkei Sherff","ko`oko`olau","E"
"BLBA","","Blennosperma bakeri Heiser","Sonoma sunshine","E"
"BODE2","","Boltonia decurrens (Torr. & A. Gray) Alph. Wood","decurrent false aster","T"
"BOGR5","","Bonamia grandiflora (A. Gray) Hallier f.","Florida bonamia","T"
"BOME2","","Bonamia menziesii A. Gray","","E"
"BRIN4","","Brighamia insignis A. Gray","olulu","E"
"BRRO","","Brighamia rockii H. St. John","pua `ala","E"
"BRFI","","Brodiaea filifolia S. Watson","thread-leaved brodiaea","T"
"BRPA2","","Brodiaea pallida Hoover","Chinese Camp brodiaea","T"
"BUVA","","Buxus vahlii Baill.","Vahl's boxwood","E"
"CAKA5","","Caesalpinia kavaiensis H. Mann","uhiuhi","E"
"CAAM14","","Callicarpa ampla Schauer","capa rosa","E"
"CASC4","","Callirhoe scabriuscula B.L. Rob.","Texas poppy-mallow","E"
"CATI3","","Calochortus tiburonensis A.J. Hill","Tiburon mariposa lily","T"
"CATH3","","Calyptranthes thomasiana Berg","","E"
"CARI3","","Calyptronoma rivalis (O.F. Cook) L.H. Bailey","palma de manaca","T"
"CAST21","","Calystegia stebbinsii Brummitt","Stebbins' morning-glory","E"
